lifetimes,sex,poisonconc,died
68,F,0,1
71,F,0,1
33,F,0,1
72,F,0,0
33,F,0,1
52,F,0,1
72,F,0,1
38,F,0,0
72,F,0,1
55,F,0,1
56,M,0,1
53,M,0,1
56,M,0,1
34,M,0,1
40,M,0,1
50,M,0,1
70,M,0,1
50,M,0,1
63,M,0,1
18,M,0,1
48,F,1,0
27,F,1,1
13,F,1,1
63,F,1,1
27,F,1,1
19,F,1,1
27,F,1,1
38,F,1,0
16,F,1,1
53,F,1,1
28,M,1,1
10,M,1,1
22,M,1,1
44,M,1,1
13,M,1,1
51,M,1,1
48,M,1,1
10,M,1,1
49,M,1,1
7,M,1,1
14,F,2,1
52,F,2,1
57,F,2,1
23,F,2,1
45,F,2,1
60,F,2,0
65,F,2,1
45,F,2,1
33,F,2,1
41,F,2,1
50,M,2,1
56,M,2,1
56,M,2,1
12,M,2,0
43,M,2,1
58,M,2,1
37,M,2,1
32,M,2,0
36,M,2,1
34,M,2,1
53,F,4,1
48,F,4,1
50,F,4,1
61,F,4,1
59,F,4,1
60,F,4,1
35,F,4,1
38,F,4,1
63,F,4,0
54,F,4,1
23,M,4,1
60,M,4,1
45,M,4,1
54,M,4,1
34,M,4,1
50,M,4,1
42,M,4,1
55,M,4,1
34,M,4,0
45,M,4,1
47,F,6,1
45,F,6,0
53,F,6,1
38,F,6,1
55,F,6,1
59,F,6,0
54,F,6,1
16,F,6,1
60,F,6,1
59,F,6,1
47,M,6,1
18,M,6,1
38,M,6,1
17,M,6,1
58,M,6,1
24,M,6,1
52,M,6,1
14,M,6,1
48,M,6,0
30,M,6,1
23,F,10,1
35,F,10,1
41,F,10,1
48,F,10,0
17,F,10,1
10,F,10,1
14,F,10,1
15,F,10,1
47,F,10,1
14,F,10,1
38,M,10,1
35,M,10,1
41,M,10,1
41,M,10,1
41,M,10,1
35,M,10,1
41,M,10,1
46,M,10,1
26,M,10,1
42,M,10,1
