Year,nig.gdp,alg.gdp,sa.gdp,nig.eng,alg.eng,sa.eng,nig.co2,alg.co2,sa.co2
1971,159.8115407,336.2797085,874.4494048,627.8220032,229.461674,2009.919076,0.561853829,1.236483962,7.457992373
1972,208.6445298,435.909848,897.3817684,634.0878726,259.1931403,1997.498239,0.704174352,1.827602784,7.425562686
1973,251.5179041,546.8955929,1202.468359,645.4890321,302.6158297,2079.134844,0.822384769,2.404228923,7.335733767
1974,401.6785695,806.7162858,1477.0232,648.0142878,316.7357072,2108.289059,1.007021094,1.94853179,7.306156482
1975,437.0120661,924.2237019,1494.158502,656.6015163,327.9550749,2182.605508,0.745623014,1.902825589,7.489559811
1976,554.9527703,1024.08182,1403.952351,669.699437,363.9554429,2209.712391,0.844407351,2.262715033,7.642650804
1977,534.4482477,1177.631955,1526.807683,683.111711,396.006724,2208.549179,0.749982955,2.352344292,7.748345356
1978,525.488235,1438.282716,1719.895728,693.289826,473.7037408,2284.818008,0.694760991,3.411230714,7.668257372
1979,659.8775099,1760.337241,2076.284044,700.0867463,582.4935216,2308.239187,0.98142729,2.415774334,8.125555286
1980,871.1457819,2174.31747,2920.782714,711.8213999,575.3608024,2370.988541,0.924784532,3.41559349,8.2845264
1981,806.5078183,2205.970102,3073.122375,724.4452742,605.9650722,2545.501513,0.870971874,2.309940678,9.108884845
1982,661.2323508,2176.916796,2764.289394,740.1818003,764.1470175,2699.728454,0.843982948,1.89101555,9.690416647
1983,444.6490809,2274.774616,2893.725117,742.6485789,799.3708933,2679.379628,0.751665589,2.453010538,9.831467081
1984,348.5263175,2424.248732,2792.007894,727.3574095,767.343132,2832.522568,0.851423347,3.210003592,10.357154
1985,344.1410755,2535.858517,2142.151823,732.1437315,776.6366967,2759.691011,0.833035882,3.185752651,10.35567205
1986,240.6173882,2705.94603,2475.044578,721.6309227,851.4922417,2801.219776,0.853537887,3.240410634,10.30018005
1987,272.5077222,2755.01376,3158.590557,727.7332431,817.0360313,2831.147544,0.671203496,3.472379057,9.990721696
1988,256.37583,2372.584992,3398.641354,729.4623943,839.0132059,2876.230913,0.779383188,3.370763444,10.17107806
1989,260.047556,2175.093523,3621.522918,734.8125709,810.0817247,2693.537555,0.455483659,3.129694937,9.88989787
1990,321.6683541,2364.549879,3182.214046,738.1744422,845.567565,2583.979091,0.474552558,3.006721912,9.474819602
1991,279.2759617,1699.856511,3345.809451,752.810024,872.668368,2643.266111,0.461303369,3.028919415,9.638385616
1992,291.28411,1743.346069,3557.111015,762.3155969,875.8697928,2414.39821,0.645018907,2.98751988,8.853792726
1993,153.076176,1773.820483,3479.924091,755.6836073,856.2326778,2533.44892,0.582305872,2.929035648,9.141031092
1994,171.0252704,1479.600215,3546.668962,720.5836052,808.2303713,2564.266855,0.441207323,3.00320905,9.375637732
1995,263.2880257,1424.642484,3862.808993,715.1482105,821.7228225,2647.773466,0.322040394,3.230136294,9.035236784
1996,314.7354882,1572.831937,3593.277596,726.6435367,786.6347254,2653.806241,0.363611758,3.235587368,8.965942996
1997,314.2876446,1587.646138,3636.171062,739.7117908,792.7990297,2648.006306,0.352610133,2.906365551,9.073136442
1998,273.8541432,1563.500973,3205.168742,722.5958647,807.5059291,2542.175547,0.343834089,3.474320431,8.883571672
1999,299.342634,1555.191033,3102.813799,729.9568292,849.7117066,2540.717493,0.373763101,2.945320314,8.644088383
2000,377.500257,1727.333251,3019.946367,737.2877534,851.1458695,2483.263886,0.644398113,2.772147555,8.377511523
2001,350.2878211,1702.780079,2638.15805,751.0258641,842.0602573,2502.780021,0.661488951,2.621860338,8.077163732
2002,457.4736505,1742.55761,2425.320317,753.6399966,883.3396775,2413.791913,0.759338561,2.789232068,7.635876734
2003,510.4169414,2056.265303,3624.694443,746.9428136,930.1308936,2545.162388,0.702663375,2.803740228,8.257579512
2004,645.9256502,2549.957193,4659.623355,748.1740671,925.6618346,2758.439316,0.713585957,2.674522946,9.153203816
2005,804.1523667,3038.748713,5185.849388,763.0388518,952.1140236,2716.486651,0.750050856,3.154443155,8.392574641
2006,1014.756968,3391.367826,5407.258649,746.6409723,1004.359552,2666.093461,0.687395022,3.012793702,8.900807288
2007,1130.879787,3845.847296,5850.958488,731.60567,1048.314184,2830.748798,0.64686256,3.200797999,9.193396512
2008,1376.015915,4786.51807,5511.195079,735.5756915,1047.56476,3007.979563,0.612540586,3.20834736,9.530528177
2009,1090.746284,3771.284844,5654.492378,703.1437688,1122.025785,2894.582012,0.461569798,3.424272074,10.21775364
2010,1437.048907,4349.569325,7136.963299,720.9278033,1082.07233,2846.305437,0.494090977,3.331511849,9.204084691
2011,1496.303316,5271.590312,7789.944597,720.6436453,1108.281628,2794.643092,,,
2012,1555.360614,5347.704734,7351.756648,,,,,,
